Mechanism,Compound,Pathway,Subpathway,Protein_ID,Gene,code_mechanism,code_compound,code_subpathway
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,P12693,AeAA_alkH_ald,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,Q00593,AeAA_alkJ_adh,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,Q9WWW2,AeAA_alkJ_adh,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,P17051,AeAA_alkS,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,Q0VKZ4,AeAA_alkS,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,Q9L4M7,AeAA_alkS,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,O85764,AeAA_ssuD,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,P40402,AeAA_ssuD,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Auxiliar_alkane_gene,A_Auxiliar_alkane_gene,Q9HYG2,AeAA_ssuD,Ae,A,A_
Ae_Aerobic,A_Alkanes,A_Finnerty_pathway,A_Finnerty_pathway,Q02UU0,AeAB_ahpC,Ae,A,B_
Ae_Aerobic,A_Alkanes,A_Finnerty_pathway,A_Finnerty_pathway,Q9I6Z2,AeAB_ahpF,Ae,A,B_
Ae_Aerobic,A_Alkanes,A_Finnerty_pathway,A_Finnerty_pathway,BAB33284.1,AeAB_alkMa,Ae,A,B_
Ae_Aerobic,A_Alkanes,A_Finnerty_pathway,A_Finnerty_pathway,BAB33287.1,AeAB_alkMb,Ae,A,B_
Ae_Aerobic,A_Alkanes,A_Hydrocarbon_uptake,A_Hydrocarbon_uptake,Q00595,AeAC_alkL,Ae,A,C_
Ae_Aerobic,A_Alkanes,A_Hydrocarbon_uptake,A_Hydrocarbon_uptake,Q0VTI9,AeAC_alkN_mcp,Ae,A,C_
Ae_Aerobic,A_Alkanes,A_Hydrocarbon_uptake,A_Hydrocarbon_uptake,Q9R9U8,AeAC_alkN_mcp,Ae,A,C_
Ae_Aerobic,A_Alkanes,A_Hydrocarbon_uptake,A_Hydrocarbon_uptake,P0A901,AeAC_blc,Ae,A,C_
Ae_Aerobic,A_Alkanes,A_Hydrocarbon_uptake,A_Hydrocarbon_uptake,Q08790,AeAC_blc,Ae,A,C_
Ae_Aerobic,A_Alkanes,A_Hydrocarbon_uptake,A_Hydrocarbon_uptake,P10384,AeAC_FadL,Ae,A,C_
Ae_Aerobic,A_Alkanes,A_Subterminal_oxidation,A_Subterminal_oxidation,A3U3H1,AeAD_BVMO,Ae,A,D_
Ae_Aerobic,A_Alkanes,A_Subterminal_oxidation,A_Subterminal_oxidation,A7HU16,AeAD_BVMO,Ae,A,D_
Ae_Aerobic,A_Alkanes,A_Subterminal_oxidation,A_Subterminal_oxidation,Q88J44,AeAD_BVMO,Ae,A,D_
Ae_Aerobic,A_Alkanes,A_Subterminal_oxidation,A_Subterminal_oxidation,Q93TJ5,AeAD_BVMO,Ae,A,D_
Ae_Aerobic,A_Alkanes,A_Subterminal_oxidation,A_Subterminal_oxidation,Q9I3H5,AeAD_BVMO,Ae,A,D_
Ae_Aerobic,A_Alkanes,A_Subterminal_oxidation,A_Subterminal_oxidation,U5S003,AeAD_BVMO,Ae,A,D_
Ae_Aerobic,A_Alkanes,A_Subterminal_oxidation,A_Subterminal_oxidation,Q0SJK9,AeAD_prmA,Ae,A,D_
